Province,Electoral District Name/Nom de circonscription,Electoral District Number/Numéro de circonscription,Population,Electors/Électeurs,Polling Stations/Bureaux de scrutin,Valid Ballots/Bulletins valides,Percentage of Valid Ballots /Pourcentage des bulletins valides,Rejected Ballots/Bulletins rejetés,Percentage of Rejected Ballots /Pourcentage des bulletins rejetés,Total Ballots Cast/Total des bulletins déposés,Percentage of Voter Turnout/Pourcentage de la participation électorale,Elected Candidate/Candidat élu,Party/Parti,Party Code
British Columbia/Colombie-Britannique,Kootenay--Columbia,59015,112354,96079,264,64965,99.5,317,.5,65282,67.9,Rob Morrison,Conservative/Conservateur,CPC
British Columbia/Colombie-Britannique,Langley--Aldergrove,59016,117017,97353,217,62635,99.5,312,.5,62947,64.7,Tako Van Popta,Conservative/Conservateur,CPC
British Columbia/Colombie-Britannique,Mission--Matsqui--Fraser Canyon,59017,94825,71078,178,43175,99.3,302,.7,43477,61.2,Brad Vis,Conservative/Conservateur,CPC
British Columbia/Colombie-Britannique,Nanaimo--Ladysmith,59018,122710,108490,263,68765,99.6,277,.4,69042,63.6,Lisa Marie Barron,NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP
British Columbia/Colombie-Britannique,New Westminster--Burnaby,59019,115340,87509,185,49324,99.1,462,.9,49786,56.9,Peter Julian,NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP
British Columbia/Colombie-Britannique,North Island--Powell River,59037,105466,93163,252,60263,99.3,421,.7,60684,65.1,Rachel Blaney,NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP
British Columbia/Colombie-Britannique,North Okanagan--Shuswap,59020,124605,112329,306,72397,99.5,372,.5,72769,64.8,Mel Arnold,Conservative/Conservateur,CPC
British Columbia/Colombie-Britannique,North Vancouver,59021,115344,90437,213,59320,99.4,383,.6,59703,66,Jonathan Wilkinson,Liberal/Libéral,LIB
British Columbia/Colombie-Britannique,Pitt Meadows--Maple Ridge,59022,101101,82786,179,52833,99.5,278,.5,53111,64.2,Marc Dalton,Conservative/Conservateur,CPC
British Columbia/Colombie-Britannique,Port Moody--Coquitlam,59023,110817,84028,204,52091,99.2,428,.8,52519,62.5,Bonita Zarrillo,NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP
British Columbia/Colombie-Britannique,Prince George--Peace River--Northern Rockies,59024,110995,80724,222,49197,99.1,430,.9,49627,61.5,Bob Zimmer,Conservative/Conservateur,CPC
British Columbia/Colombie-Britannique,Richmond Centre/Richmond-Centre,59025,98396,74710,183,34161,99,340,1,34501,46.2,Wilson Miao,Liberal/Libéral,LIB
British Columbia/Colombie-Britannique,Saanich--Gulf Islands,59027,107339,94293,234,65522,99.4,374,.6,65896,69.9,Elizabeth May,Green Party/Parti Vert,GPC
British Columbia/Colombie-Britannique,Skeena--Bulkley Valley,59028,88920,68088,222,37391,99.5,193,.5,37584,55.2,Taylor Bachrach,NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP
British Columbia/Colombie-Britannique,South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest,59029,114695,103310,285,66780,99.4,434,.6,67214,65.1,Richard Cannings,NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP
British Columbia/Colombie-Britannique,South Surrey--White Rock/Surrey-Sud--White Rock,59030,104051,88281,215,56905,99.4,340,.6,57245,64.8,Kerry-Lynne Findlay,Conservative/Conservateur,CPC
British Columbia/Colombie-Britannique,Steveston--Richmond East/Steveston--Richmond-Est,59031,99913,74641,186,38949,99.1,363,.9,39312,52.7,Parm Bains,Liberal/Libéral,LIB
British Columbia/Colombie-Britannique,Surrey Centre/Surrey-Centre,59032,120172,75657,161,38386,98.7,510,1.3,38896,51.4,Randeep Sarai,Liberal/Libéral,LIB
British Columbia/Colombie-Britannique,Surrey--Newton,59033,114605,65973,163,36610,98.9,404,1.1,37014,56.1,Sukh Dhaliwal,Liberal/Libéral,LIB
British Columbia/Colombie-Britannique,Vancouver Centre/Vancouver-Centre,59034,116443,91864,227,51617,99.2,422,.8,52039,56.6,Hedy Fry,Liberal/Libéral,LIB
British Columbia/Colombie-Britannique,Vancouver East/Vancouver-Est,59035,115724,91371,231,49591,98.9,528,1.1,50119,54.9,Jenny Kwan,NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP
British Columbia/Colombie-Britannique,Vancouver Granville,59036,103456,82491,201,49560,99.3,331,.7,49891,60.5,Taleeb Noormohamed,Liberal/Libéral,LIB
British Columbia/Colombie-Britannique,Vancouver Kingsway,59038,104870,75060,163,40158,99.2,324,.8,40482,53.9,Don Davies,NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP
British Columbia/Colombie-Britannique,Vancouver Quadra,59039,105608,76613,166,47705,99.4,291,.6,47996,62.6,Joyce Murray,Liberal/Libéral,LIB
British Columbia/Colombie-Britannique,Vancouver South/Vancouver-Sud,59040,102927,74785,200,40283,98.8,493,1.2,40776,54.5,Harjit S. Sajjan,Liberal/Libéral,LIB
British Columbia/Colombie-Britannique,Victoria,59041,117133,101151,232,66748,99.3,468,.7,67216,66.5,Laurel Collins,NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP
British Columbia/Colombie-Britannique,West Vancouver--Sunshine Coast--Sea to Sky Country,59042,119113,98717,256,63459,99.6,279,.4,63738,64.6,Patrick Weiler,Liberal/Libéral,LIB
Yukon,Yukon,60001,35874,30482,88,19406,99.3,142,.7,19548,64.1,Brendan Hanley,Liberal/Libéral,LIB
Northwest Territories/Territoires du Nord-Ouest,Northwest Territories/Territoires du Nord-Ouest,61001,41786,30519,101,14095,98.9,155,1.1,14250,46.7,Michael McLeod,Liberal/Libéral,LIB
